index,train_loss,train_acc,train_precision,train_recall,train_f1-score,val_loss,val_acc,val_precision,val_recall,val_f1-score
1,1.2238941509276628,54.78515625,54.8079912892504,54.69752701240077,54.60252542640967,1.1255675846976894,52.90178680419922,53.95052747036588,53.10606060606061,47.66733894708324
2,0.860509404912591,69.3359375,69.27755590303919,69.33501710623293,69.19533736555013,0.8278072008064815,68.52678680419922,74.81043261684175,68.55555555555556,68.24819991035292
3,0.7048219470307231,75.9765625,75.82796320931122,75.98091996117935,75.78018845619455,0.6485745808375734,77.00892639160156,78.35460228784792,77.0909090909091,76.62037507602068
4,0.5776558364741504,81.34765625,81.65815113652637,81.39716199850315,81.4969722544297,0.5682778821459838,78.79463958740234,83.35584955625828,78.84848484848484,79.07103530017861
5,0.5475452076643705,82.2265625,82.26684670981115,82.21213392947156,82.15938178686021,0.4677159640234874,84.375,86.66860681624325,84.43939393939395,84.17246347013865
6,0.4618080295622349,85.546875,85.51665141187031,85.52703755371593,85.50671607540148,0.42045290072980734,83.92857360839844,84.50582976851317,83.98989898989899,83.24875929350723
7,0.47634083312004805,83.0078125,82.98265133205489,83.02083933201115,82.99743803082417,0.6205959171056747,82.14285278320312,83.03538390954623,82.17171717171718,82.18048921239249
8,0.47186729474924505,84.86328125,84.84663988450113,84.8923140480289,84.86571559901955,0.36610434375636813,85.71428680419922,86.61320255732149,85.76767676767678,85.95184138121145
9,0.4734765395987779,84.375,84.24228901357858,84.35222017096007,84.24763144332158,0.5932329583114812,81.47321319580078,83.87549654459379,81.5151515151515,81.44810689853414
10,0.4276133633684367,85.44921875,85.48103773465198,85.45373839803503,85.43697676531262,0.4384492749481329,85.71428680419922,87.35401475600811,85.75252525252526,86.09441464508411
11,0.3905755546875298,87.5,87.69195457689321,87.51689084342004,87.57814795918443,0.35916521919092964,88.39285278320312,89.31548733344354,88.43434343434345,88.55848105902975
12,0.2737216539680958,91.30859375,91.43155283445844,91.28828226252753,91.3310580584384,0.6342718357087246,87.27678680419922,90.49603472363813,87.32323232323233,87.80423587591187
13,0.40211088745854795,87.40234375,87.2541820625895,87.34413772501884,87.24245609851619,0.4495643872232267,85.04463958740234,86.01658234508196,85.11111111111111,84.37379548127096
14,0.3522687491495162,88.76953125,88.86365092465489,88.75723435098229,88.79153979097364,0.2586299328665648,90.84821319580078,90.85008135942712,90.88888888888889,90.82640728703332
15,0.3624644868541509,89.453125,89.45412455650364,89.41988105589103,89.43390730578983,0.3132516881742049,88.83928680419922,91.10077742191564,88.87373737373737,89.34032567400932
16,0.37548532453365624,89.16015625,89.20931955329011,89.21543526645421,89.21036809149477,0.39884217821859885,87.72321319580078,88.58533253261865,87.74747474747475,87.97398717681203
17,0.3172042875085026,89.74609375,89.82922713646335,89.78999901532809,89.8010041999081,0.3340383137214563,89.95535278320312,90.90720228869752,90.0,90.02842263349915
18,0.3045375323854387,91.015625,91.19674008153845,91.02758277321384,91.08134783532135,0.2896072809983577,90.40178680419922,90.73725401306073,90.42929292929293,90.53086750110648
19,0.3291797440033406,90.8203125,90.93698117100817,90.8227066972559,90.86824199441624,0.3841868552948914,88.39285278320312,89.72083263015072,88.43939393939395,88.5164149903832
20,0.3383176364004612,88.28125,88.58595441330678,88.2545032763704,88.36854576734659,0.35429003994379726,86.83035278320312,88.00569296212333,86.85353535353536,87.20293431619714
21,0.32422420382499695,89.0625,89.28735104037345,89.11839329368388,89.16556973677993,0.4436708965471813,86.60713958740234,87.26849850191527,86.62121212121212,86.80136975334
22,0.32727040263125673,89.84375,90.07851126932408,89.82886097128497,89.88821070121658,0.2267887249056782,92.85713958740234,92.87522852386351,92.86363636363636,92.86013078574102
23,0.26942611602135,92.1875,92.27323335917056,92.19359436883917,92.21394443690176,0.3590345229562705,87.72321319580078,90.61417108663132,87.77777777777779,87.74140517049452
24,0.2926442506723106,91.796875,92.07225627092943,91.81774952505803,91.87677153568904,0.21116406772275045,93.08035278320312,93.27521632442206,93.1060606060606,93.1655132620657
25,0.2862819219008088,91.40625,91.42799023974115,91.40330925070766,91.40260655649858,0.4036976951922822,87.72321319580078,88.64265588566653,87.73737373737374,87.69522960699432
26,0.2793700678739697,91.015625,91.19669018697796,91.01156506398588,91.05788546552799,0.17348981688597373,93.30357360839844,93.4126984126984,93.32828282828282,93.30508539202842
27,0.24929494794923812,93.26171875,93.29853938222035,93.25194436324335,93.26146218829781,0.5025094751534718,83.70535278320312,87.56353188959095,83.77272727272728,83.45034815152846
28,0.2510708982590586,91.796875,92.00684279529825,91.81036466503883,91.87670359692716,0.2515966553432167,92.63392639160156,92.594281978882,92.66161616161617,92.59237713096618
29,0.235900433617644,91.796875,91.92095483903026,91.79628148884885,91.83936100320643,0.22199577429065748,92.41071319580078,92.7573756274912,92.43434343434345,92.46852764094143
30,0.21890119119780138,93.1640625,93.22928434092498,93.13204390223322,93.16424575392361,0.16055913228358673,93.97321319580078,94.26121681935635,93.9949494949495,94.06801346801346
31,0.2699124899227172,91.11328125,91.1491756116913,91.1150646676236,91.10838996076623,0.23324319131435395,90.40178680419922,91.24923837098116,90.43434343434345,90.54812391166416
32,0.21257471083663404,93.5546875,93.68112653618152,93.56615718053494,93.60055339620081,0.12691997057429813,96.42857360839844,96.47916840921553,96.44444444444444,96.43206705615766
33,0.21369811054319143,93.45703125,93.5304952787586,93.44782443158775,93.47112156257411,0.3502420645787164,91.07142639160156,91.2461760566425,91.11111111111111,90.83140108371016
34,0.22231843339977786,94.04296875,94.10616982627394,94.03420015755599,94.047211892734,0.4326034645949091,87.5,92.01219512195122,87.53030303030303,88.25231269781395
35,0.1646470197738381,94.921875,95.00961416824795,94.92803229888143,94.95425975715811,0.17714968236396064,94.64285278320312,94.67386728483538,94.66161616161617,94.63561907449028
36,0.19685538415797055,94.3359375,94.33639770953025,94.35096734267896,94.3339280960781,0.39007288847954313,91.07142639160156,91.51052155805812,91.09595959595961,91.06905845307641
